name,location,id,date
NewYork_107_2002.06,NewYork,107,2002.06
NewYork_280_1999.3,NewYork,280,1999.3
NewYork_169_2000.02,NewYork,169,2000.02
NewYork_602_1996.99,NewYork,602,1996.99
NewYork_583_1997.18,NewYork,583,1997.18
NewYork_192_2003.12,NewYork,192,2003.12
NewYork_96_2002.07,NewYork,96,2002.07
NewYork_523_1998.11,NewYork,523,1998.11
NewYork_670_1995.04,NewYork,670,1995.04
NewYork_519_1998.14,NewYork,519,1998.14
NewYork_550_1998.08,NewYork,550,1998.08
NewYork_716_1994.06,NewYork,716,1994.06
NewYork_427_2000.01,NewYork,427,2000.01
NewYork_103_2002.09,NewYork,103,2002.09
NewYork_728_1994.1,NewYork,728,1994.1
NewYork_320_1999.25,NewYork,320,1999.25
NewYork_586_1996.99,NewYork,586,1996.99
NewYork_480_2004.05,NewYork,480,2004.05
NewYork_283_1999.13,NewYork,283,1999.13
NewYork_176_2000.18,NewYork,176,2000.18
NewYork_183_1999.93,NewYork,183,1999.93
NewYork_556_1996.9,NewYork,556,1996.9
NewYork_472_2004.76,NewYork,472,2004.76
NewYork_248_1999.11,NewYork,248,1999.11
NewYork_168_2000.02,NewYork,168,2000.02
NewYork_674_1995.07,NewYork,674,1995.07
NewYork_238_2005.11,NewYork,238,2005.11
NewYork_736_1994.07,NewYork,736,1994.07
NewYork_432_2000.03,NewYork,432,2000.03
NewYork_522_1998.02,NewYork,522,1998.02
NewYork_756_1993.1,NewYork,756,1993.1
NewYork_50_2003.96,NewYork,50,2003.96
NewYork_191_2005.04,NewYork,191,2005.04
NewYork_468_2004.73,NewYork,468,2004.73
NewYork_593_1996.96,NewYork,593,1996.96
NewYork_81_2002.16,NewYork,81,2002.16
NewYork_419_2002.07,NewYork,419,2002.07
NewYork_682_1995.18,NewYork,682,1995.18
NewYork_20_2003.94,NewYork,20,2003.94
NewYork_340_1999.08,NewYork,340,1999.08
NewYork_456_1999.06,NewYork,456,1999.06
NewYork_201_2003.29,NewYork,201,2003.29
NewYork_404_2002.03,NewYork,404,2002.03
NewYork_463_2005.13,NewYork,463,2005.13
NewYork_196_2003.16,NewYork,196,2003.16
NewYork_619_1996.04,NewYork,619,1996.04
NewYork_361_2005.11,NewYork,361,2005.11
NewYork_97_2002.14,NewYork,97,2002.14
NewYork_595_1996.98,NewYork,595,1996.98
NewYork_313_1999.01,NewYork,313,1999.01
NewYork_66_2004,NewYork,66,2004
