name,location,id,date,season
NewYork_8_2004.01,NewYork,8,2004.01,2003-2004
NewYork_406_2002.04,NewYork,406,2002.04,2001-2002
NewYork_436_2000.04,NewYork,436,2000.04,1999-2000
NewYork_739_1994.14,NewYork,739,1994.14,1993-1994
NewYork_148_2000.13,NewYork,148,2000.13,1999-2000
NewYork_711_1994.05,NewYork,711,1994.05,1993-1994
NewYork_535_1998.19,NewYork,535,1998.19,1997-1998
NewYork_61A_2003.99,NewYork,61A,2003.99,2003-2004
NewYork_701_1995.16,NewYork,701,1995.16,1994-1995
NewYork_588_1997.01,NewYork,588,1997.01,1996-1997
NewYork_240_1999.01,NewYork,240,1999.01,1998-1999
NewYork_76_2002.05,NewYork,76,2002.05,2001-2002
NewYork_152_2000.07,NewYork,152,2000.07,1999-2000
NewYork_274_2002.18,NewYork,274,2002.18,2001-2002
NewYork_129_2002.14,NewYork,129,2002.14,2001-2002
NewYork_112_2002.1,NewYork,112,2002.1,2001-2002
NewYork_160_2000.02,NewYork,160,2000.02,1999-2000
NewYork_2_2003.84,NewYork,2,2003.84,2003-2004
NewYork_413_2002.13,NewYork,413,2002.13,2001-2002
NewYork_440_2000.08,NewYork,440,2000.08,1999-2000
NewYork_589_1996.98,NewYork,589,1996.98,1996-1997
NewYork_740_1994.05,NewYork,740,1994.05,1993-1994
NewYork_433_2000.03,NewYork,433,2000.03,1999-2000
NewYork_115_2002.12,NewYork,115,2002.12,2001-2002
NewYork_453_1999.05,NewYork,453,1999.05,1998-1999
NewYork_24_2003.94,NewYork,24,2003.94,2003-2004
NewYork_636_1996.07,NewYork,636,1996.07,1995-1996
NewYork_99_2002.08,NewYork,99,2002.08,2001-2002
NewYork_372_2005,NewYork,372,2005,2004-2005
NewYork_431_2000.02,NewYork,431,2000.02,1999-2000
NewYork_613_1996.04,NewYork,613,1996.04,1995-1996
NewYork_418_2002.06,NewYork,418,2002.06,2001-2002
NewYork_335_1999.07,NewYork,335,1999.07,1998-1999
NewYork_457_1999.06,NewYork,457,1999.06,1998-1999
NewYork_460_1999.08,NewYork,460,1999.08,1998-1999
NewYork_448_1998.91,NewYork,448,1998.91,1998-1999
NewYork_563_1996.88,NewYork,563,1996.88,1996-1997
NewYork_450_1999.04,NewYork,450,1999.04,1998-1999
NewYork_479_2003.88,NewYork,479,2003.88,2003-2004
NewYork_84_2002.01,NewYork,84,2002.01,2001-2002
NewYork_429_2000.02,NewYork,429,2000.02,1999-2000
NewYork_357_2005.15,NewYork,357,2005.15,2004-2005
NewYork_652_1995.93,NewYork,652,1995.93,1995-1996
NewYork_245_2004.9,NewYork,245,2004.9,2004-2005
NewYork_521_1998.07,NewYork,521,1998.07,1997-1998
NewYork_279_1999.16,NewYork,279,1999.16,1998-1999
NewYork_560_1997.03,NewYork,560,1997.03,1996-1997
NewYork_9_2003.85,NewYork,9,2003.85,2003-2004
NewYork_405_2002.04,NewYork,405,2002.04,2001-2002
NewYork_715_1994.59,NewYork,715,1994.59,1994-1995
NewYork_671_1995.03,NewYork,671,1995.03,1994-1995
NewYork_42_2003.96,NewYork,42,2003.96,2003-2004
NewYork_541_1998.21,NewYork,541,1998.21,1997-1998
NewYork_203_2003.37,NewYork,203,2003.37,2002-2003
NewYork_360_2004.9,NewYork,360,2004.9,2004-2005
NewYork_554_1996.88,NewYork,554,1996.88,1996-1997
NewYork_14_2003.94,NewYork,14,2003.94,2003-2004
NewYork_38_2003.99,NewYork,38,2003.99,2003-2004
NewYork_276_2002.2,NewYork,276,2002.2,2001-2002
NewYork_136_2002.23,NewYork,136,2002.23,2001-2002
NewYork_108_2002.1,NewYork,108,2002.1,2001-2002
NewYork_111_2002.12,NewYork,111,2002.12,2001-2002
NewYork_140_2000.01,NewYork,140,2000.01,1999-2000
NewYork_454_1999.05,NewYork,454,1999.05,1998-1999
NewYork_580_1996.95,NewYork,580,1996.95,1996-1997
NewYork_74_2002.07,NewYork,74,2002.07,2001-2002
NewYork_164_2000.01,NewYork,164,2000.01,1999-2000
NewYork_271_2003.93,NewYork,271,2003.93,2003-2004
NewYork_611_1996.01,NewYork,611,1996.01,1995-1996
NewYork_260_1999.13,NewYork,260,1999.13,1998-1999
NewYork_109_2002.1,NewYork,109,2002.1,2001-2002
NewYork_199_2003.24,NewYork,199,2003.24,2002-2003
NewYork_392_2004.99,NewYork,392,2004.99,2004-2005
NewYork_379_2004.94,NewYork,379,2004.94,2004-2005
NewYork_543_1998.15,NewYork,543,1998.15,1997-1998
NewYork_375_2005.1,NewYork,375,2005.1,2004-2005
NewYork_462_2005.13,NewYork,462,2005.13,2004-2005
NewYork_355_2004.86,NewYork,355,2004.86,2004-2005
NewYork_547_1998.01,NewYork,547,1998.01,1997-1998
NewYork_592_1996.94,NewYork,592,1996.94,1996-1997
NewYork_518_1998.03,NewYork,518,1998.03,1997-1998
NewYork_411_2002.08,NewYork,411,2002.08,2001-2002
NewYork_696_1995.01,NewYork,696,1995.01,1994-1995
NewYork_104_2002.07,NewYork,104,2002.07,2001-2002
NewYork_275_2002.03,NewYork,275,2002.03,2001-2002
NewYork_288_1999.17,NewYork,288,1999.17,1998-1999
NewYork_67_2004.01,NewYork,67,2004.01,2003-2004
NewYork_371_2004.96,NewYork,371,2004.96,2004-2005
NewYork_32_2003.93,NewYork,32,2003.93,2003-2004
NewYork_408_2002.05,NewYork,408,2002.05,2001-2002
NewYork_705_1994.1,NewYork,705,1994.1,1993-1994
NewYork_581_1997.06,NewYork,581,1997.06,1996-1997
NewYork_504_1998.02,NewYork,504,1998.02,1997-1998
NewYork_509_1997.99,NewYork,509,1997.99,1997-1998
NewYork_510_1998.16,NewYork,510,1998.16,1997-1998
NewYork_501_1997.92,NewYork,501,1997.92,1997-1998
NewYork_165_2000.07,NewYork,165,2000.07,1999-2000
NewYork_637_1996.06,NewYork,637,1996.06,1995-1996
NewYork_182_2000.15,NewYork,182,2000.15,1999-2000
NewYork_572_1996.96,NewYork,572,1996.96,1996-1997
NewYork_91_2002.07,NewYork,91,2002.07,2001-2002
NewYork_27_2003.84,NewYork,27,2003.84,2003-2004
NewYork_524_1998.02,NewYork,524,1998.02,1997-1998
NewYork_257_1999.11,NewYork,257,1999.11,1998-1999
NewYork_48_2003.96,NewYork,48,2003.96,2003-2004
NewYork_500_2004.96,NewYork,500,2004.96,2004-2005
NewYork_7_2003.85,NewYork,7,2003.85,2003-2004
NewYork_369_2005.03,NewYork,369,2005.03,2004-2005
NewYork_54_2003.96,NewYork,54,2003.96,2003-2004
NewYork_332_1999.15,NewYork,332,1999.15,1998-1999
NewYork_540_1998.14,NewYork,540,1998.14,1997-1998
NewYork_422_1999.97,NewYork,422,1999.97,1999-2000
NewYork_628_1995.96,NewYork,628,1995.96,1995-1996
NewYork_5_2004.04,NewYork,5,2004.04,2003-2004
NewYork_171_2000.01,NewYork,171,2000.01,1999-2000
NewYork_568_1996.96,NewYork,568,1996.96,1996-1997
NewYork_170_2000.03,NewYork,170,2000.03,1999-2000
NewYork_6_2004.04,NewYork,6,2004.04,2003-2004
NewYork_529_1998.18,NewYork,529,1998.18,1997-1998
NewYork_464_2005.2,NewYork,464,2005.2,2004-2005
NewYork_598_1996.98,NewYork,598,1996.98,1996-1997
NewYork_378_2005.03,NewYork,378,2005.03,2004-2005
NewYork_243_2005.11,NewYork,243,2005.11,2004-2005
NewYork_477_2003.9,NewYork,477,2003.9,2003-2004
NewYork_153_1999.96,NewYork,153,1999.96,1999-2000
NewYork_685_1995.12,NewYork,685,1995.12,1994-1995
NewYork_95_2002.18,NewYork,95,2002.18,2001-2002
NewYork_265_1999.1,NewYork,265,1999.1,1998-1999
NewYork_516_1998,NewYork,516,1998,1997-1998
NewYork_207_2004.96,NewYork,207,2004.96,2004-2005
NewYork_286_1999.23,NewYork,286,1999.23,1998-1999
NewYork_562_1996.97,NewYork,562,1996.97,1996-1997
NewYork_474_2004.02,NewYork,474,2004.02,2003-2004
NewYork_186_2000,NewYork,186,2000,1999-2000
NewYork_190_2004.88,NewYork,190,2004.88,2004-2005
NewYork_451_1999.05,NewYork,451,1999.05,1998-1999
NewYork_639_1995.98,NewYork,639,1995.98,1995-1996
NewYork_247_1998.85,NewYork,247,1998.85,1998-1999
NewYork_47_2003.97,NewYork,47,2003.97,2003-2004
NewYork_267_2003.93,NewYork,267,2003.93,2003-2004
NewYork_576_1997.03,NewYork,576,1997.03,1996-1997
NewYork_505_1997.94,NewYork,505,1997.94,1997-1998
NewYork_317_1999.03,NewYork,317,1999.03,1998-1999
NewYork_259_1999.11,NewYork,259,1999.11,1998-1999
NewYork_200_2004.92,NewYork,200,2004.92,2004-2005
NewYork_214_2003.33,NewYork,214,2003.33,2002-2003
NewYork_382_2005.1,NewYork,382,2005.1,2004-2005
NewYork_634_1996.95,NewYork,634,1996.95,1996-1997
NewYork_439_2000.08,NewYork,439,2000.08,1999-2000
NewYork_262_1999.08,NewYork,262,1999.08,1998-1999
NewYork_506_1998.11,NewYork,506,1998.11,1997-1998
NewYork_690_1995.06,NewYork,690,1995.06,1994-1995
NewYork_51_2003.96,NewYork,51,2003.96,2003-2004
NewYork_666_1995.12,NewYork,666,1995.12,1994-1995
NewYork_617_1996.23,NewYork,617,1996.23,1995-1996
NewYork_753_1994.14,NewYork,753,1994.14,1993-1994
NewYork_376_2005.07,NewYork,376,2005.07,2004-2005
NewYork_660_1995.18,NewYork,660,1995.18,1994-1995
NewYork_530_1998.07,NewYork,530,1998.07,1997-1998
NewYork_43_2003.96,NewYork,43,2003.96,2003-2004
NewYork_741_1994.18,NewYork,741,1994.18,1993-1994
NewYork_409_2002.06,NewYork,409,2002.06,2001-2002
NewYork_143_1999.92,NewYork,143,1999.92,1999-2000
NewYork_80_2002.01,NewYork,80,2002.01,2001-2002
NewYork_654_1994.85,NewYork,654,1994.85,1994-1995
NewYork_574_1996.96,NewYork,574,1996.96,1996-1997
NewYork_328_1999.01,NewYork,328,1999.01,1998-1999
NewYork_749_1994.04,NewYork,749,1994.04,1993-1994
NewYork_154_2000.08,NewYork,154,2000.08,1999-2000
NewYork_367_2005.15,NewYork,367,2005.15,2004-2005
NewYork_684_1995.08,NewYork,684,1995.08,1994-1995
NewYork_23_2003.98,NewYork,23,2003.98,2003-2004
NewYork_384_2005.04,NewYork,384,2005.04,2004-2005
NewYork_250_1998.96,NewYork,250,1998.96,1998-1999
NewYork_623_1996.01,NewYork,623,1996.01,1995-1996
NewYork_324_1999.09,NewYork,324,1999.09,1998-1999
NewYork_69_2004.04,NewYork,69,2004.04,2003-2004
NewYork_77_2002.01,NewYork,77,2002.01,2001-2002
NewYork_114_2002.19,NewYork,114,2002.19,2001-2002
NewYork_185_2000,NewYork,185,2000,1999-2000
NewYork_167_2000.01,NewYork,167,2000.01,1999-2000
NewYork_179_1999.92,NewYork,179,1999.92,1999-2000
NewYork_278_1999.11,NewYork,278,1999.11,1998-1999
NewYork_467_2004.73,NewYork,467,2004.73,2004-2005
NewYork_193_2003.16,NewYork,193,2003.16,2002-2003
NewYork_356_2004.94,NewYork,356,2004.94,2004-2005
NewYork_377_2004.99,NewYork,377,2004.99,2004-2005
NewYork_113_2002.1,NewYork,113,2002.1,2001-2002
NewYork_180_2000.13,NewYork,180,2000.13,1999-2000
NewYork_370_2004.99,NewYork,370,2004.99,2004-2005
NewYork_712_1993.93,NewYork,712,1993.93,1993-1994
NewYork_263_1999.13,NewYork,263,1999.13,1998-1999
NewYork_158_2000.06,NewYork,158,2000.06,1999-2000
